symbol,exchange,series,isin,nse_scrip_code,bse_code
779PN38,NSE,EQ,,21166,
777PN36,NSE,EQ,,20397,
778PN37,NSE,EQ,,21165,
779PN37,NSE,EQ,,20360,
AGARWALEYE,NSE,EQ,,29452,
NIFTY1,NSE,EQ,,18102,
HINDZINC,NSE,EQ,,1424,
360ONE,NSE,EQ,,13061,
TIIL,NSE,EQ,,14223,
TANKUP,NSE,EQ,,756338,
RELCHEMQ,NSE,EQ,,9652,
AGIIL,NSE,EQ,,24445,
VIESL,NSE,EQ,,25234,
759CG46,NSE,EQ,,760587,
734CG40,NSE,EQ,,758817,
SARVESHWAR,NSE,EQ,,12913,
719CG35A,NSE,EQ,,760014,
SHREECEM,NSE,EQ,,3103,
737CG33,NSE,EQ,,760338,
75CG35,NSE,EQ,,760565,
729TR36,NSE,EQ,,2690,
734TR36,NSE,EQ,,2394,
GPECO,NSE,EQ,,24108,
744RJ34A,NSE,EQ,,23346,
747RJ33,NSE,EQ,,23325,
ANANTRAJ,NSE,EQ,,13620,
746RJ42,NSE,EQ,,23212,
749RJ40,NSE,EQ,,23327,
LIBAS,NSE,EQ,,11082,
752RJ44,NSE,EQ,,23333,
0MOFSL27,NSE,EQ,,23704,
727MZ33,NSE,EQ,,2683,
AXISGOLD,NSE,EQ,,20532,
AXISNIFTY,NSE,EQ,,21252,
JAYAGROGN,NSE,EQ,,4041,
LLOYDSENGG,NSE,EQ,,17801,
WONDERLA,NSE,EQ,,3002,
737RJ45,NSE,EQ,,23101,
ASTEC,NSE,EQ,,17728,
748RJ37,NSE,EQ,,23207,
746RJ34,NSE,EQ,,23194,
ARFIN,NSE,EQ,,758700,
716HR38A,NSE,EQ,,29706,
722HR38A,NSE,EQ,,29928,
703HR35,NSE,EQ,,30430,
726HR39,NSE,EQ,,30014,
723HR39,NSE,EQ,,30081,
688PN45,NSE,EQ,,756914,
704HR37,NSE,EQ,,30438,
688PN46,NSE,EQ,,756915,
708HR39,NSE,EQ,,30440,
MAKS,NSE,EQ,,11218,
677PN43,NSE,EQ,,756099,
SANGANI,NSE,EQ,,18035,
679PN45,NSE,EQ,,756860,
DJML,NSE,EQ,,12749,
709HR40,NSE,EQ,,30441,
688PN45A,NSE,EQ,,757116,
704MZ33,NSE,EQ,,2143,
689PN46,NSE,EQ,,757038,
JETFREIGHT,NSE,EQ,,7213,
664MZ32,NSE,EQ,,1899,
BIRLAMONEY,NSE,EQ,,15239,
713PN50,NSE,EQ,,757439,
ETML,NSE,EQ,,27629,
668MZ31,NSE,EQ,,1430,
AADHARHFC,NSE,EQ,,23729,
719PN49,NSE,EQ,,757914,
684MZ34,NSE,EQ,,1090,
719PN40,NSE,EQ,,757784,
763RJ41,NSE,EQ,,22505,
766RJ34,NSE,EQ,,22497,
ASIANENE,NSE,EQ,,7030,
KRITINUT,NSE,EQ,,11432,
713HR36A,NSE,EQ,,27004,
744RJ34,NSE,EQ,,22867,
748RJ34,NSE,EQ,,22748,
JFLLIFE,NSE,EQ,,10885,
751RJ34,NSE,EQ,,22611,
815MOFS28,NSE,EQ,,760344,
743RJ44,NSE,EQ,,22873,
742RJ39,NSE,EQ,,22869,
773PN32,NSE,EQ,,758926,
757PN37,NSE,EQ,,759321,
737RJ34A,NSE,EQ,,23082,
74RJ42,NSE,EQ,,22987,
749PN40,NSE,EQ,,759231,
JINDALSTEL,NSE,EQ,,6733,
729PN33,NSE,EQ,,760012,
935MOFSL29,NSE,EQ,,23708,
BDL,NSE,EQ,,2144,
97MOFSL34,NSE,EQ,,23712,
ZEAL,NSE,EQ,,17766,
BABAFP,NSE,EQ,,20141,
93MOFSL34,NSE,EQ,,23710,
SAFEENTP,NSE,EQ,,757583,
91MOFSL27,NSE,EQ,,23702,
885MOFSL26,NSE,EQ,,23698,
883GS2041,NSE,EQ,,7013,
766RJ33A,NSE,EQ,,22495,
897MOFSL29,NSE,EQ,,23706,
897GS2030,NSE,EQ,,7011,
0MOFSL26,NSE,EQ,,23700,
712HR37,NSE,EQ,,27117,
719HR37,NSE,EQ,,27199,
COFORGE,NSE,EQ,,11543,
718HR38,NSE,EQ,,28996,
BIRLANU,NSE,EQ,,1455,
709HR37,NSE,EQ,,27672,
749PN35A,NSE,EQ,,760094,
716HR37,NSE,EQ,,28816,
ARVSMART,NSE,EQ,,10457,
722HR38,NSE,EQ,,29120,
715HR38,NSE,EQ,,29060,
PLAZACABLE,NSE,EQ,,19458,
714HR38A,NSE,EQ,,29283,
714HR38,NSE,EQ,,29238,
714HR38B,NSE,EQ,,29570,
SHIVAMAUTO,NSE,EQ,,13756,
BANARISUG,NSE,EQ,,350,
JINDWORLD,NSE,EQ,,20642,
716KL30,NSE,EQ,,21914,
HESTERBIO,NSE,EQ,,7048,
GMRP&UI,NSE,EQ,,8529,
SILVERBEES,NSE,EQ,,8080,
USK,NSE,EQ,,14871,
717BR30A,NSE,EQ,,22223,
SIGNATURE,NSE,EQ,,18743,
718BR30,NSE,EQ,,20109,
717BR30,NSE,EQ,,22216,
729BR30,NSE,EQ,,21642,
684KL30,NSE,EQ,,21913,
GHCLTEXTIL,NSE,EQ,,16696,
705KL30,NSE,EQ,,21899,
703KL30,NSE,EQ,,21915,
HGM,NSE,EQ,,13592,
MEGAFLEX,NSE,EQ,,10980,
768IREDA33,NSE,EQ,,20848,
777IREDA27,NSE,EQ,,21308,
759IREDA34,NSE,EQ,,22820,
753IRED34,NSE,EQ,,23006,
757IREDL29,NSE,EQ,,23155,
RAJTV,NSE,EQ,,14403,
PUSHPA,NSE,EQ,,757683,
ORIENTCEM,NSE,EQ,,30089,
YUDIZ,NSE,EQ,,18040,
MADRASFERT,NSE,EQ,,4911,
AUTOBEES,NSE,EQ,,7880,
RAMRAT,NSE,EQ,,10485,
728KL30,NSE,EQ,,21908,
RPSGVENT,NSE,EQ,,8119,
718KL29,NSE,EQ,,21912,
JAYESH,NSE,EQ,,759159,
GIPCL,NSE,EQ,,1145,
ASALCBR,NSE,EQ,,17598,
HDIL,NSE,EQ,,17920,
PNB,NSE,EQ,,10666,
ANANTAM,NSE,EQ,,759363,
ORKLAINDIA,NSE,EQ,,759569,
SKFINDIA,NSE,EQ,,3186,
ARABIAN,NSE,EQ,,19253,
719KL51,NSE,EQ,,5479,
EMMVEE,NSE,EQ,,759728,
697KL31,NSE,EQ,,5474,
PARAMATRIX,NSE,EQ,,25069,
RULKA,NSE,EQ,,23830,
706KL39,NSE,EQ,,5545,
SEQUENT,NSE,EQ,,14296,
704KL34,NSE,EQ,,5539,
UTLSOLAR,NSE,EQ,,759876,
GNA,NSE,EQ,,18571,
706KL41,NSE,EQ,,4793,
706KL38,NSE,EQ,,4790,
72KL56,NSE,EQ,,4899,
713KL46,NSE,EQ,,4897,
MAWANASUG,NSE,EQ,,17022,
696KL34,NSE,EQ,,3701,
684KL33,NSE,EQ,,3656,
VIKRAMSOLR,NSE,EQ,,759453,
709KL36,NSE,EQ,,4748,
681KL31,NSE,EQ,,4581,
TCIFINANCE,NSE,EQ,,8722,
CDSL,NSE,EQ,,21174,
TAPIFRUIT,NSE,EQ,,10986,
SIL,NSE,EQ,,11297,
IFBIND,NSE,EQ,,1485,
678KL31,NSE,EQ,,3655,
IFBAGRO,NSE,EQ,,1482,
GCSL,NSE,EQ,,758988,
EXXARO,NSE,EQ,,5353,
RAYMOND,NSE,EQ,,2859,
VASCONEQ,NSE,EQ,,18110,
PPL,NSE,EQ,,10297,
ADANIPOWER,NSE,EQ,,17388,
HECPROJECT,NSE,EQ,,7425,
ANYA,NSE,EQ,,28983,
DALMIASUG,NSE,EQ,,781,
SOTAC,NSE,EQ,,14993,
732HR36,NSE,EQ,,24420,
ARIHANTACA,NSE,EQ,,13348,
GODREJCP,NSE,EQ,,10099,
733HR36,NSE,EQ,,24183,
732HR36A,NSE,EQ,,24488,
LALPATHLAB,NSE,EQ,,11654,
MOREPENLAB,NSE,EQ,,2259,
PARADEEP,NSE,EQ,,9741,
SHANTIGOLD,NSE,EQ,,758002,
TUNWAL,NSE,EQ,,24520,
GILT5YBEES,NSE,EQ,,3172,
LAXMICOT,NSE,EQ,,6568,
SDL26BEES,NSE,EQ,,3022,
734HR36,NSE,EQ,,24650,
DCCL,NSE,EQ,,757107,
PFC,NSE,EQ,,14299,
PHARMABEES,NSE,EQ,,4973,
726HR36,NSE,EQ,,24755,
724HR36A,NSE,EQ,,25013,
724HR36,NSE,EQ,,24886,
725HR39,NSE,EQ,,24887,
SONATSOFTW,NSE,EQ,,6596,
713HR36,NSE,EQ,,25359,
725HR36,NSE,EQ,,25094,
712HR36A,NSE,EQ,,25705,
712HR36,NSE,EQ,,25501,
648MZ30,NSE,EQ,,988,
705MZ35,NSE,EQ,,316,
657MZ35,NSE,EQ,,22014,
66MZ30,NSE,EQ,,22017,
704MZ30,NSE,EQ,,22019,
ARKADE,NSE,EQ,,25398,
VCL,NSE,EQ,,9027,
INFY,NSE,EQ,,1594,
IRCON,NSE,EQ,,4986,
SHK,NSE,EQ,,11212,
NAVINFLUOR,NSE,EQ,,14672,
VILINBIO,NSE,EQ,,16954,
SANOFICONR,NSE,EQ,,25222,
SMVD,NSE,EQ,,847,
GREAVESCOT,NSE,EQ,,1235,
748HR34,NSE,EQ,,23547,
743HR34,NSE,EQ,,24005,
752HR34,NSE,EQ,,23632,
742HR34,NSE,EQ,,23815,
736HR34,NSE,EQ,,24101,
738HR34,NSE,EQ,,24056,
SINTERCOM,NSE,EQ,,381,
PCHFL23125,NSE,EQ,,29243,
VISHWARAJ,NSE,EQ,,13702,
PCHF230125,NSE,EQ,,29247,
930PCHFL27,NSE,EQ,,29037,
GOLD1,NSE,EQ,,14858,
KAYA,NSE,EQ,,10276,
KAYNES,NSE,EQ,,12092,
BIOCON,NSE,EQ,,11373,
MIDHANI,NSE,EQ,,2463,
DEVX,NSE,EQ,,759079,
RAMANEWS,NSE,EQ,,13565,
MCLOUD,NSE,EQ,,29482,
GTL,NSE,EQ,,1162,
JAINIK,NSE,EQ,,758303,
681PN31,NSE,EQ,,3755,
IRBINVIT,NSE,EQ,,20817,
IT,NSE,EQ,,2627,
684PN31,NSE,EQ,,5883,
DPEL,NSE,EQ,,24289,
727MN36,NSE,EQ,,24984,
9PCHFL31A,NSE,EQ,,5160,
698PN33,NSE,EQ,,5885,
860CIFCL28,NSE,EQ,,20443,
739MN36,NSE,EQ,,24336,
875PCHFL26,NSE,EQ,,5151,
MPTODAY,NSE,EQ,,21792,
689PN31,NSE,EQ,,5560,
715MN39A,NSE,EQ,,28821,
CIFCZC26,NSE,EQ,,20437,
715MN39,NSE,EQ,,25961,
GREENLEAF,NSE,EQ,,759424,
697PN31,NSE,EQ,,5419,
CIFC28,NSE,EQ,,17964,
SWSOLAR,NSE,EQ,,12489,
925IHFL25E,NSE,EQ,,17940,
695PN31,NSE,EQ,,4887,
743MN36,NSE,EQ,,23816,
85CIFC27,NSE,EQ,,22551,
CIF29,NSE,EQ,,22558,
CIFC26,NSE,EQ,,22545,
PATANJALI,NSE,EQ,,17029,
BBOX,NSE,EQ,,3435,
CIF27,NSE,EQ,,22553,
840CIFCL27,NSE,EQ,,21325,
BHARATFORG,NSE,EQ,,422,
875CIFC23B,NSE,EQ,,22542,
CIFCZC28,NSE,EQ,,20445,
INDTERRAIN,NSE,EQ,,21957,
850CIFCL26,NSE,EQ,,20435,
ADSL,NSE,EQ,,14813,
SURYALAXMI,NSE,EQ,,11852,
GTLINFRA,NSE,EQ,,13745,
CIFCZC26A,NSE,EQ,,15372,
CIFCZC28A,NSE,EQ,,15376,
840CIFCL28,NSE,EQ,,15374,
714NPC39,NSE,EQ,,28371,
NLCINDIA,NSE,EQ,,8585,
830CIFC26,NSE,EQ,,15370,
CIFC26A,NSE,EQ,,17952,
EPACKPEB,NSE,EQ,,759251,
714PN36,NSE,EQ,,7544,
657TN31,NSE,EQ,,1890,
84CIFCL28,NSE,EQ,,17958,
714PN32,NSE,EQ,,7708,
653TN31,NSE,EQ,,1839,
695TN31,NSE,EQ,,2260,
685TN51,NSE,EQ,,2097,
BERGEPAINT,NSE,EQ,,404,
738CIFL27,NSE,EQ,,757343,
758CIFL30,NSE,EQ,,759486,
820CIFL28,NSE,EQ,,29683,
819CIFL27,NSE,EQ,,30492,
850CIFL34,NSE,EQ,,27092,
741PN42,NSE,EQ,,8501,
737PN42,NSE,EQ,,8718,
819CIFL26,NSE,EQ,,28981,
719PN37,NSE,EQ,,7714,
840CIFL27,NSE,EQ,,25393,
712PN37,NSE,EQ,,8197,
EPACK,NSE,EQ,,22463,
736CIFL28,NSE,EQ,,760106,
GENUSPOWER,NSE,EQ,,11905,
769MZ31,NSE,EQ,,9708,
786MZ32,NSE,EQ,,9922,
860CIFC29,NSE,EQ,,23012,
DECCANCE,NSE,EQ,,14838,
802MZ36,NSE,EQ,,10374,
ASTRON,NSE,EQ,,874,
860CIFCL29,NSE,EQ,,23172,
774MZ33,NSE,EQ,,10540,
86CIFC29,NSE,EQ,,22556,
778MZ37,NSE,EQ,,11294,
865CIFC865,NSE,EQ,,22917,
778MZ32,NSE,EQ,,11401,
864CIFL29A,NSE,EQ,,24347,
787MZ36,NSE,EQ,,11873,
850CIFL27,NSE,EQ,,24604,
875PCHFL31,NSE,EQ,,5155,
77MZ35,NSE,EQ,,13256,
QUESS,NSE,EQ,,17704,
769MZ37,NSE,EQ,,13897,
85PCHFL26,NSE,EQ,,5145,
864CIFL29,NSE,EQ,,24260,
865CIFL29,NSE,EQ,,23900,
ASAHISONG,NSE,EQ,,25088,
JUNIORBEES,NSE,EQ,,10939,
858CIF27,NSE,EQ,,23734,
859CIFCL29,NSE,EQ,,23658,
865CIF29,NSE,EQ,,23837,
LIQUIDBEES,NSE,EQ,,11006,
JGCHEM,NSE,EQ,,23056,
NILASPACES,NSE,EQ,,7411,
SATIA,NSE,EQ,,11045,
DUGLOBAL,NSE,EQ,,5457,
799GSGL28,NSE,EQ,,759941,
768GSGL28A,NSE,EQ,,758009,
ACMESOLAR,NSE,EQ,,27061,
799GSGL29,NSE,EQ,,759943,
768GSGL28C,NSE,EQ,,758013,
PTC,NSE,EQ,,11355,
BAHETI,NSE,EQ,,12989,
768GSGL28B,NSE,EQ,,758011,
768GSGL28,NSE,EQ,,758007,
NITCO,NSE,EQ,,13300,
748KL45,NSE,EQ,,759595,
749KL40,NSE,EQ,,759324,
LORDSCHLO,NSE,EQ,,18232,
ZEEL,NSE,EQ,,3812,
DSSL,NSE,EQ,,25690,
744KL50,NSE,EQ,,759037,
744RJ33,NSE,EQ,,17122,
ADOR,NSE,EQ,,34,
774KL60,NSE,EQ,,758921,
736RJ41,NSE,EQ,,17460,
778KL45,NSE,EQ,,758936,
741RJ33,NSE,EQ,,17456,
743RJ48,NSE,EQ,,17113,
758KL50,NSE,EQ,,758728,
PONNIERODE,NSE,EQ,,10661,
SALSTEEL,NSE,EQ,,11637,
770TPREL34,NSE,EQ,,28797,
673TN30,NSE,EQ,,22122,
755TPREL40,NSE,EQ,,756992,
785TRPEL34,NSE,EQ,,25372,
ALKEM,NSE,EQ,,11703,
BIL,NSE,EQ,,7848,
765TPREL40,NSE,EQ,,758991,
744RJ33A,NSE,EQ,,18322,
STEL,NSE,EQ,,21484,
752KL33,NSE,EQ,,758715,
749RJ34,NSE,EQ,,17652,
749KL56,NSE,EQ,,758586,
74RJ41,NSE,EQ,,18337,
724KL41,NSE,EQ,,758192,
741RJ39,NSE,EQ,,18335,
717KL51,NSE,EQ,,757832,
746RJ33,NSE,EQ,,18939,
750TN29,NSE,EQ,,22107,
744RJ36,NSE,EQ,,18408,
775TN30,NSE,EQ,,22104,
INFRABEES,NSE,EQ,,20072,
TEGA,NSE,EQ,,7105,
GSFC,NSE,EQ,,1247,
71KL45,NSE,EQ,,757714,
713KL58,NSE,EQ,,757744,
709KL52,NSE,EQ,,757557,
694KL62,NSE,EQ,,757397,
677KL37,NSE,EQ,,757386,
VIMTALABS,NSE,EQ,,13101,
MICROPRO,NSE,EQ,,19887,
689KL51,NSE,EQ,,757040,
684KL47,NSE,EQ,,756815,
803ABCL35,NSE,EQ,,756882,
678KL40,NSE,EQ,,756866,
828GS2027,NSE,EQ,,6921,
833GS2032,NSE,EQ,,6922,
FLFL,NSE,EQ,,14868,
KOTAKBANK,NSE,EQ,,1922,
810JH32,NSE,EQ,,22199,
726JH27,NSE,EQ,,22196,
TCPLPACK,NSE,EQ,,184,
705JH30,NSE,EQ,,22198,
737JH31,NSE,EQ,,22197,
699JH30,NSE,EQ,,22200,
826GS2027,NSE,EQ,,6898,
832GS2032,NSE,EQ,,6899,
SHARIABEES,NSE,EQ,,17044,
759RJ48,NSE,EQ,,15109,
678KL46,NSE,EQ,,756103,
761RJ43,NSE,EQ,,15105,
756RJ33,NSE,EQ,,15095,
734RJ33,NSE,EQ,,16062,
745RJ33,NSE,EQ,,15309,
COOLCAPS,NSE,EQ,,8560,
735RJ43,NSE,EQ,,16374,
736RJ33,NSE,EQ,,16346,
PATTECH,NSE,EQ,,15137,
739RJ48,NSE,EQ,,16995,
AXISBPSETF,NSE,EQ,,3530,
734RJ33A,NSE,EQ,,16646,
AXISHCETF,NSE,EQ,,3608,
775RJ36,NSE,EQ,,19903,
775RJ35,NSE,EQ,,20354,
